Sales,Profit,City_Fresno,City_Buffalo,Quantity,Sub-Category_Furnishings,Sales_lag_1,Sales_lag_9,Sales_lag_12,Sales_lag_7
198.744,0.0,0.0,0.0,4.0,0.0,14.76,191.82,163.88,568.728
131.104,8.194,0.0,0.0,2.0,0.0,51.588,72.704,422.625,883.84
240.784,30.098,0.0,0.0,1.0,0.0,22.2,37.74,84.98,34.58
339.92,8.498,0.0,0.0,5.0,0.0,207.76,127.554,7.068,195.136
246.1328,-76.0116,0.0,0.0,2.0,0.0,63.824,141.96,36.6,290.352
687.4,48.118,0.0,0.0,5.0,0.0,144.784,5.28,393.165,1004.976
411.332,-4.8392,0.0,0.0,4.0,0.0,129.568,7.88,284.364,4.16
308.499,-18.147,0.0,0.0,3.0,0.0,172.11,5.47,127.302,653.55
239.666,14.098,0.0,0.0,2.0,0.0,319.41,6.984,12.544,337.176
359.058,-71.8116,0.0,0.0,3.0,0.0,14.368,262.864,29.22,41.552
231.92,5.798,0.0,0.0,5.0,0.0,386.91,480.96,107.53,89.0664
72.294,-98.8018,0.0,0.0,1.0,0.0,189.882,28.28,386.68,16.74
825.174,-117.882,0.0,0.0,9.0,0.0,1322.352,1282.41,236.528,90.801
69.576,-143.7904,0.0,0.0,4.0,0.0,364.95,70.686,97.424,206.112
1227.9984,-36.1176,0.0,0.0,6.0,0.0,389.696,28.4,53.34,283.92
781.864,-137.976,0.0,0.0,10.0,0.0,31.96,172.5,182.67,366.009
613.9992,-18.0588,0.0,0.0,3.0,0.0,63.98,4.712,186.54,29.22
183.968,-25.2956,0.0,0.0,2.0,0.0,27.58,79.974,19.76,718.116
205.666,-12.098,0.0,0.0,2.0,0.0,400.032,781.864,111.15,14.52
66.294,-103.8606,0.0,0.0,1.0,0.0,64.944,1044.63,517.5,102.582
289.568,10.8588,0.0,0.0,2.0,0.0,86.97,380.058,19.54,408.006
205.3328,-36.2352,0.0,0.0,2.0,0.0,94.2,257.568,90.99,600.558
78.8528,-11.596,0.0,0.0,2.0,0.0,340.704,191.984,842.376,273.06
163.88,40.97,0.0,0.0,2.0,0.0,701.372,5.352,113.888,631.782
451.136,-67.6704,0.0,0.0,4.0,0.0,153.568,15.168,1592.85,24.85
186.048,9.3024,0.0,0.0,4.0,0.0,141.96,653.55,230.352,214.11
302.94,69.6762,0.0,0.0,3.0,0.0,163.764,1194.165,71.372,161.568
163.88,40.97,0.0,0.0,2.0,0.0,701.372,5.352,113.888,631.782
477.666,84.294,0.0,0.0,2.0,0.0,393.165,368.97,68.432,127.95
504.9,126.225,0.0,0.0,5.0,0.0,140.81,30.8,165.28,230.28
400.784,-5.0098,0.0,0.0,1.0,0.0,871.4,457.485,1212.96,760.116
599.165,35.245,0.0,0.0,5.0,0.0,8.73,1335.68,466.32,12.544
275.952,-37.9434,0.0,0.0,3.0,0.0,151.72,6.368,8.544,155.372
205.666,-12.098,0.0,0.0,2.0,0.0,890.841,4.992,30.768,32.952
46.384,1.1596,0.0,0.0,1.0,0.0,15.712,1516.2,717.72,170.072
199.98,37.9962,0.0,0.0,2.0,0.0,77.952,210.68,248.98,35.0
1406.86,140.686,0.0,0.0,7.0,0.0,8.28,602.651,97.568,105.686
191.984,4.7996,0.0,0.0,2.0,0.0,37.93,411.8,141.96,27.46
353.568,-44.196,0.0,0.0,2.0,0.0,161.568,599.165,1293.488,483.136
176.784,-22.098,0.0,0.0,1.0,0.0,354.9,836.592,135.8,637.896
186.048,9.3024,0.0,0.0,4.0,0.0,141.96,653.55,230.352,214.11
176.784,-22.098,0.0,0.0,1.0,0.0,354.9,836.592,135.8,637.896
362.94,36.294,0.0,0.0,3.0,0.0,164.22,103.936,142.4,35.34
459.92,41.3928,0.0,0.0,4.0,0.0,128.9,188.552,54.768,199.9
141.372,-14.1372,0.0,0.0,2.0,0.0,286.38,303.92,18.84,22.784
359.97,79.1934,0.0,0.0,3.0,0.0,240.784,14.91,210.98,69.375
119.833,7.049,0.0,0.0,1.0,0.0,63.882,85.98,170.058,213.216
275.952,-37.9434,0.0,0.0,3.0,0.0,151.72,6.368,8.544,155.372
801.568,-10.0196,0.0,0.0,2.0,0.0,631.782,142.4,14.19,13.128
290.666,3.4196,0.0,0.0,2.0,0.0,333.0,14.73,127.104,19.3
173.94,38.2668,0.0,0.0,3.0,0.0,14.76,275.88,547.136,51.588
46.384,1.1596,0.0,0.0,1.0,0.0,15.712,1516.2,717.72,170.072
638.82,172.4814,0.0,0.0,9.0,0.0,853.092,340.144,218.75,53.88
556.665,6.549,0.0,0.0,5.0,0.0,189.576,177.225,478.48,210.68
293.199,-20.6964,0.0,0.0,3.0,0.0,411.332,103.481,40.784,307.666
359.499,-29.6058,0.0,0.0,3.0,0.0,853.93,28.4,27.42,127.785
305.9745,25.1979,0.0,0.0,3.0,0.0,37.296,23.968,112.648,10.984
66.294,-103.8606,0.0,0.0,1.0,0.0,64.944,1044.63,517.5,102.582
290.666,3.4196,0.0,0.0,2.0,0.0,333.0,14.73,127.104,19.3
681.408,42.588,0.0,0.0,12.0,0.0,335.744,71.12,375.4575,322.59
289.568,10.8588,0.0,0.0,2.0,0.0,86.97,380.058,19.54,408.006
145.74,23.3184,0.0,0.0,3.0,0.0,183.372,14.89,138.588,23.88
205.3328,-36.2352,0.0,0.0,2.0,0.0,94.2,257.568,90.99,600.558
257.499,24.2352,0.0,0.0,3.0,0.0,9.96,24.7,388.704,638.288
586.398,34.494,0.0,0.0,6.0,0.0,544.008,622.45,47.04,31.56
290.352,-36.294,0.0,0.0,3.0,0.0,186.048,185.58,39.96,34.504
344.981,28.4102,0.0,0.0,7.0,0.0,24.14,908.82,317.058,254.352
239.666,14.098,0.0,0.0,2.0,0.0,319.41,6.984,12.544,337.176
523.26,125.5824,0.0,0.0,9.0,0.0,127.764,54.528,547.136,241.568
361.96,83.2508,0.0,0.0,2.0,0.0,106.68,67.96,411.332,85.98
512.94,97.4586,0.0,0.0,3.0,0.0,860.93,1227.9984,493.92,787.53
411.332,-4.8392,0.0,0.0,4.0,0.0,397.6,275.952,611.058,6.096
46.384,1.1596,0.0,0.0,1.0,0.0,15.712,1516.2,717.72,170.072
314.352,-15.7176,0.0,0.0,3.0,0.0,66.645,206.352,171.288,221.382
723.92,-81.441,0.0,0.0,5.0,0.0,364.08,70.98,283.92,28.4
242.352,9.0882,0.0,0.0,3.0,0.0,74.45,620.6145,411.8,273.96
191.984,4.7996,0.0,0.0,2.0,0.0,37.93,411.8,141.96,27.46
387.136,-14.5176,0.0,0.0,4.0,0.0,66.36,317.058,60.312,44.4
84.98,18.6956,0.0,0.0,1.0,0.0,207.846,37.68,48.896,18.96
239.98,52.7956,0.0,0.0,2.0,0.0,557.728,313.722,109.9,626.1
77.728,-3.8864,0.0,0.0,2.0,0.0,291.136,514.165,1497.666,174.42
512.499,-30.147,0.0,0.0,3.0,0.0,109.764,24.1,582.336,323.136
424.9575,19.998,0.0,0.0,5.0,0.0,454.965,63.2,127.95,483.136
198.272,-32.2192,0.0,0.0,8.0,0.0,242.352,258.072,25.472,306.9
704.9,56.392,0.0,0.0,5.0,0.0,358.58,700.152,441.92,231.92
66.294,-103.8606,0.0,0.0,1.0,0.0,64.944,1044.63,517.5,102.582
4007.84,-50.098,0.0,1.0,10.0,0.0,305.9745,797.944,521.96,629.064
599.165,35.245,0.0,0.0,5.0,0.0,8.73,1335.68,466.32,12.544
119.833,-12.6882,0.0,0.0,1.0,0.0,504.9,974.988,56.328,526.582
626.352,46.9764,0.0,0.0,3.0,0.0,957.5775,392.94,11.032,66.294
290.666,3.4196,0.0,0.0,2.0,0.0,333.0,14.73,127.104,19.3
241.96,24.196,0.0,0.0,2.0,0.0,562.2925,272.94,302.72,19.312
66.294,-103.8606,0.0,0.0,1.0,0.0,64.944,1044.63,517.5,102.582
354.9,88.725,0.0,0.0,5.0,0.0,388.704,327.996,844.116,1317.492
239.666,14.098,0.0,0.0,2.0,0.0,319.41,6.984,12.544,337.176
67.9932,-12.9987,0.0,0.0,1.0,0.0,25.128,53.2,222.666,521.96
239.666,14.098,0.0,0.0,2.0,0.0,319.41,6.984,12.544,337.176
